資產類別,資產名稱,威脅,威脅說明,威脅 Reference,威脅源,威脅源說明,威脅源 Reference,弱點,弱點說明,弱點 Reference
資料,作業文件 (緊急應變程序),19. 職責劃分不清 (Unclear roles and responsibilities),緊急應變程序中未明確指定各項任務的負責人(Owner)與代理人(Deputy)，導致事發時一片混亂。,"ISO/IEC 27005, A.10, TI03",內部人員 (意外),文件中僅寫「由IT部門負責」，但未指明是哪個崗位的人員。,"NIST SP 800-30, G-4",計畫缺乏可操作性,"文件撰寫時未採用RACI模型（Responsible, Accountable, Consulted, Informed）來明確劃分權責。","CNS 27001, A.5.3"
資料,作業文件 (緊急應變程序),20. 數位檔案格式不相容 (Incompatible file format),緊急應變計畫儲存為特殊軟體格式(如Visio)，但在緊急狀況下，並非所有人的電腦都有軟體能開啟。,"ISO/IEC 27005, A.10, TI03",內部人員 (意外),為了圖表美觀，使用特定軟體製作，未考慮到通用性與便利性。,"NIST SP 800-30, G-4",未使用標準化文件格式,未要求此類關鍵文件應儲存為PDF通用、不易竄改且廣泛支援的格式。,"CNS 27001, A.5.31"
資料,作業文件 (作業紀錄),21. 紀錄被否認 (Repudiation of actions),系統管理員執行高風險操作後，惡意刪除或修改相關作業紀錄，以規避責任。,"ISO/IEC 27005, A.10, TH09",敵對的內部人員,員工刪除自己的登入與操作紀錄，聲稱未曾執行某項有爭議的操作。,"NIST SP 800-30, D-2",紀錄檔保護不足,紀錄檔的存取權限過於寬鬆，允許被一般管理員帳號修改或刪除。,"CNS 27001, A.8.15"
資料,作業文件 (作業紀錄),22. 紀錄不實或不完整 (Inaccurate or incomplete records),因系統設定錯誤或人為疏忽，導致作業紀錄未能詳實記載所有必要資訊（如來源IP、使用者帳號）。,"ISO/IEC 27005, A.10, TI03",內部人員 (意外),應用程式日誌的記錄層級(Logging Level)被設得過低，僅記錄錯誤事件，未記錄一般操作。,"NIST SP 800-30, G-4",缺乏統一的日誌記錄政策,"沒有政策規範各類系統（OS, DB, App）的日誌應記錄哪些欄位、格式與層級。","CNS 27001, A.8.15"
資料,作業文件 (作業紀錄),23. 紀錄未受時間戳保護 (Untimestamped or inaccurate timestamps),紀錄的時間戳不準確或不存在，導致事件發生順序無法重建，失去作為法律證據的效力。,"ISO/IEC 27005, A.10, TI03",內部人員 (意外),系統主機未設定與網路時間協定(NTP)伺服器同步，導致時間產生偏差。,"NIST SP 800-30, G-4",缺乏時鐘同步機制,組織內部沒有統一的時間源，各主機時間各自為政，存在數分鐘甚至數小時的誤差。,"CNS 27001, A.8.17"
資料,作業文件 (作業紀錄),24. 紀錄保存週期不足 (Insufficient retention period),作業紀錄的保存時間過短，未符合法規要求或內部稽核需求，在需要時紀錄已被刪除。,"ISO/IEC 27005, A.10, TL02",內部人員 (意外),為了節省磁碟空間，設定了過於激進的紀錄檔輪替(Log Rotation)與刪除政策。,"NIST SP 800-30, G-4",未定義資料保存政策,公司未依據個資法、金融法規要求，制定各類資料（含紀錄）的法定保存年限。,"CNS 27001, A.5.33"
資料,作業文件 (作業紀錄),25. 紀錄未集中管理 (Decentralized log management),各系統的作業紀錄散落在各自的主機上，未集中收集，導致難以進行關聯分析與即時監控。,"ISO/IEC 27005, A.10, TO02",結構性因素,組織未投資建置日誌管理平台（如SIEM），安全事件的調查耗時費力。,"NIST SP 800-30, D-2",缺乏集中式日誌監控架構,沒有部署日誌收集代理程式(Agent)將各主機的紀錄檔傳送至中央伺服器。,"CNS 27001, A.8.16"
資料,作業文件 (作業紀錄),26. 紀錄儲存媒體遭竊 (Theft of log media),存放歸檔作業紀錄的磁帶或硬碟，在倉庫中或運送過程中被竊。,"ISO/IEC 27005, A.10, TH06",外部攻擊者,竊賊入侵檔案室，偷走了一批用於長期保存證據的歸檔磁帶。,"NIST SP 800-30, D-2",歸檔媒體未加密,離線儲存的紀錄檔為明文，一旦實體媒體失竊，所有歷史紀錄將完全洩漏。,"CNS 27001, A.7.10"
資料,作業文件 (作業紀錄),27. 紀錄遭洪水或火災損毀 (Damage by flood/fire),存放紙本或電子作業紀錄的場所發生天災，導致所有紀錄毀於一旦。,"ISO/IEC 27005, A.10, TP01",環境因素,機房發生火災，不僅燒毀線上伺服器，也燒毀了放在同處的備份磁帶。,"NIST SP 800-30, D-2",缺乏異地備份,重要的作業紀錄沒有製作副本並存放到另一個地理位置獨立的備援中心。,"CNS 27001, A.8.13"
資料,作業文件 (作業紀錄),28. 搜尋與調閱困難 (Difficulty in retrieval),雖然紀錄有保存，但因格式混亂、缺乏索引，導致在安全事件發生時，無法快速找到關鍵紀錄。,"ISO/IEC 27005, A.10, TO02",結構性因素,紀錄只是單純的文字檔，未匯入資料庫或搜尋引擎，調查時只能手動逐行過濾。,"NIST SP 800-30, D-2",日誌管理工具功能不足,使用的日誌管理系統缺乏強大的搜尋、過濾與視覺化功能。,"CNS 27001, A.8.16"
資料,作業文件 (作業紀錄),29. 紀錄中包含過多敏感資訊 (Excessive sensitive data in logs),應用程式為了除錯方便，將使用者的密碼、信用卡號敏感資訊以明文方式記錄在日誌檔中。,"ISO/IEC 27005, A.10, TH07",開發人員 (意外),開發者在測試階段開啟了詳細日誌(Verbose Logging)，但上線後忘記關閉。,"NIST SP 800-30, G-4",缺乏安全編碼與日誌記錄規範,開發規範中未要求或未落實對寫入日誌的敏感資料進行遮罩(Masking)或移除。,"CNS 27001, A.8.28"
資料,作業文件 (作業紀錄),30. 紀錄產生量過大導致系統癱瘓 (Log volume overwhelming system),某個系統因異常而產生巨量紀錄，瞬間塞爆中央日誌伺服器的磁碟空間，影響所有系統的日誌收集。,"ISO/IEC 27005, A.10, TO01",結構性因素,遭受阻斷服務攻擊(DoS)時，防火牆產生大量連線拒絕日誌，癱瘓了SIEM系統。,"NIST SP 800-30, D-2",缺乏流量控制與容量規劃,日誌管理系統未對單一來源的日誌量進行限制，也未對容量成長進行預估與規劃。,"CNS 27001, A.8.16"
資料,合約 (法律文件),31. 實體文件遭竊 (Theft of documents),存放合約正本的檔案櫃被撬開，重要商業合約或法律文件被偷走。,"ISO/IEC 27005, A.10, TH06",外部攻擊者,清潔人員或訪客趁辦公室無人時，進入檔案室竊取文件。,"NIST SP 800-30, D-2",實體儲存設施防護不足,存放機敏文件的檔案室或檔案櫃沒有上鎖，或鑰匙保管不當。,"CNS 27001, A.7.2"
資料,合約 (法律文件),32. 水災或火災損毀 (Damage by water/fire),辦公室發生火災或因水管破裂淹水，導致紙本合約文件永久損毀。,"ISO/IEC 27005, A.10, TP01",環境因素,消防灑水系統異常啟動，直接淋濕存放合約的區域。,"NIST SP 800-30, D-2",缺乏環境防護措施,未將重要紙本文件存放於防火或防水的保險櫃中。,"CNS 27001, A.7.3"
資料,合約 (法律文件),33. 未經授權的影印或拍照 (Unauthorized copying or photography),內部員工或訪客，利用手機或影印機，私下複製重要合約內容。,"ISO/IEC 27005, A.10, TH07",敵對的內部人員 / 外部人員,競爭對手派來的商業間諜，利用洽談業務的機會，偷拍桌上的合約草案。,"NIST SP 800-30, D-2",缺乏對訪客與敏感區域的管制,未禁止訪客攜帶手機進入敏感區域，或未對影印機設備的使用進行監控。,"CNS 27001, A.7.2"
資料,合約 (法律文件),34. 合約到期未續約 (Failure to renew),因管理疏失，導致重要的客戶服務合約或辦公室租賃合約到期而未及時續約，造成營運中斷。,"ISO/IEC 27005, A.10, TI03",內部人員 (意外),合約管理人離職交接不清，或未設定行事曆提醒，導致錯過續約期限。,"NIST SP 800-30, G-4",缺乏合約管理系統,沒有系統化的工具來追蹤所有合約的起迄日期、續約條件與負責人。,"CNS 27001, A.5.31"
資料,合約 (法律文件),35. 簽署用印遭盜用 (Fraudulent use of official seals),公司的印鑑章保管不當，被惡意員工盜用，以公司名義簽訂不實的合約，造成公司損失。,"ISO/IEC 27005, A.10, TH09",敵對的內部人員,員工利用職務之便，取得公司大小章，為自己或親友的公司簽訂圖利合約。,"NIST SP 800-30, D-2",印鑑管理制度不彰,公司印章的使用、保管、登記流程不嚴謹，缺乏雙人控管或授權機制。,"CNS 27001, A.6.6"
資料,合約 (法律文件),36. 數位檔案遭竄改 (Digital document tampering),合約的電子檔（如Word或PDF）在傳遞過程中被惡意修改關鍵條款或金額。,"ISO/IEC 27005, A.10, TH09",外部攻擊者 / 內部人員,在郵件寄送過程中被中間人攻擊(MITM)攔截並修改附件內容。,"NIST SP 800-30, D-2",未使用數位簽章,對外傳送的重要電子文件未使用數位簽章技術來確保其來源可信與內容未被竄改。,"CNS 27001, A.8.24"
資料,合約 (法律文件),37. 法律條款不合規 (Legal non-compliance),合約內容因未經法務人員審閱，違反了新頒布的法規（如GDPR、個資法），導致潛在的法律風險。,"ISO/IEC 27005, A.10, TL01",內部人員 (意外),業務人員為了搶時效，直接使用網路上的範本，或沿用舊版合約，未經法務審核。,"NIST SP 800-30, G-4",缺乏法律遵循審查流程,公司政策未要求所有對外合約在簽訂前，必須經過法務部門或法律顧問的審查。,"CNS 27001, A.5.32"
資料,合約 (法律文件),38. 儲存環境不當導致文件劣化 (Degradation due to environment),紙本合約因儲存的檔案室過於潮濕或受日曬，導致紙張脆化、字跡褪色，影響其法律效力。,"ISO/IEC 27005, A.10, TP02",環境因素,檔案室緊鄰西曬牆面，且無恆溫恆濕控制，長期下來對紙本文件造成不可逆的損害。,"NIST SP 800-30, D-2",實體檔案存放環境未受控,未對存放重要文件的檔案室進行環境（溫濕度、光照）監控與管理。,"CNS 27001, A.7.3"
資料,合約 (法律文件),39. 商業機密於談判中洩漏 (Leakage during negotiation),在合約談判過程中，因會議室隔音不佳或視訊會議未加密，導致商業機密外洩。,"ISO/IEC 27005, A.10, TH07",外部人員,競爭對手在隔壁會議室偷聽到我方的談判底價。,"NIST SP 800-30, D-2",會議場所實體與資訊安全不足,未確保進行機密談判的會議室具備足夠的隔音效果，或使用的通訊軟體不安全。,"CNS 27001, A.7.2"
資料,合約 (法律文件),40. 遺失合約附件或附圖 (Loss of appendices),合約本文與重要的附件（如技術規格、藍圖）分開存放，導致附件遺失，使合約內容不完整。,"ISO/IEC 27005, A.10, TI03",內部人員 (意外),行政人員在歸檔時，僅將合約本文歸檔，未處理隨附的大張設計圖。,"NIST SP 800-30, G-4",檔案管理程序不完善,缺乏指導如何完整歸檔包含多種格式附件的合約文件之作業程序。,"CNS 27001, A.5.31"
資料,合約 (軟體授權協議書),41. 違反授權協議 (License non-compliance),因授權文件管理不善，導致安裝的軟體數量超過購買的授權數，面臨法律與財務風險。,"ISO/IEC 27005, A.10, TL01",內部人員 (意外),IT人員未確實追蹤軟體安裝數量，或員工自行安裝未經授權的軟體副本。,"NIST SP 800-30, G-4",缺乏軟體資產管理制度,沒有建立軟體清單，也未使用工具來盤點與管理組織內的軟體授權。,"CNS 27001, A.5.33"
資料,合約 (軟體授權協議書),42. 遺失授權證明 (Loss of license proof),遺失了軟體購買證明或授權金鑰，當面臨原廠稽核時，無法證明合法使用。,"ISO/IEC 27005, A.10, TH08",內部人員 (意外),存放授權證明的檔案伺服器故障且無備份，或紙本證明在搬遷中遺失。,"NIST SP 800-30, G-4",授權文件與金鑰管理不當,沒有集中、安全地存放所有軟體的授權文件、金鑰或啟用碼。,"CNS 27001, A.5.33"
資料,合約 (軟體授權協議書),43. 誤用開發版或測試版授權 (Misuse of non-production licenses),將僅供開發或測試環境使用的免費或低成本授權，安裝於正式的生產環境中，違反授權條款。,"ISO/IEC 27005, A.10, TL01",開發人員 (意外),開發者為了方便，直接將開發機上的資料庫軟體部署到生產環境，而未採購正式授權。,"NIST SP 800-30, G-4",開發與生產環境未嚴格隔離,允許開發人員直接存取或部署應用程式至生產環境，缺乏變更管理與審核。,"CNS 27001, A.8.32"
資料,合約 (軟體授權協議書),44. 開源軟體授權風險 (Open source license risk),使用的開源軟體(OSS)中，包含具有「傳染性」的授權條款(如GPL)，可能要求公司必須將自家的專有原始碼也一併公開。,"ISO/IEC 27005, A.10, TL01",開發人員 (意外),開發人員在專案中使用了某個開源函式庫，但未注意其授權條款的限制。,"NIST SP 800-30, G-4",缺乏軟體組成分析(SCA)工具,沒有工具可以自動掃描專案程式碼，分析其中包含的所有開源元件及其授權類型。,"CNS 27001, A.8.29"
資料,合約 (軟體授權協議書),45. 授權遭竊或外洩 (Theft or leakage of license keys),大量授權金鑰(Volume License Key)或啟用碼外洩，被非法散布於網路上，導致公司需重新採購。,"ISO/IEC 27005, A.10, TH06",敵對的內部人員 / 外部攻擊者,離職員工將公司購買的Windows或Office大量授權金鑰公布在論壇上。,"NIST SP 800-30, D-2",授權金鑰的存取控制不嚴,存放金鑰的檔案或文件，被設定為多人可存取，且未對存取行為進行記錄。,"CNS 27001, A.5.15"
資料,合約 (軟體授權協議書),46. 未注意授權終止條款 (Unawareness of termination clauses),未詳讀軟體授權協議，不知道在某些情況下（如公司被收購），原廠有權終止授權。,"ISO/IEC 27005, A.10, TI03",內部人員 (意外),採購人員在簽約時，僅關注價格，未詳閱合約中的法律細節。,"NIST SP 800-30, G-4",合約審查流程不完善,採購軟體或服務的合約，未經過法務或權責主管的完整審閱。,"CNS 27001, A.5.19"
資料,合約 (軟體授權協議書),47. 雲端服務超額使用 (Cloud service over-consumption),未監控雲端服務的使用量，導致月底收到遠超預算的帳單，例如儲存空間或運算資源超額。,"ISO/IEC 27005, A.10, TI03",內部人員 (意外),開發人員啟用了一個昂貴的雲端資料庫服務進行測試，但忘記關閉。,"NIST SP 800-30, G-4",缺乏雲端成本管理與監控機制,未設定預算告警(Billing Alert)，也未定期審視雲端資源的使用狀況。,"CNS 27001, A.5.22"
資料,合約 (軟體授權協議書),48. 隨機版軟體移轉不合規 (OEM license transfer violation),將品牌電腦附贈的隨機版作業系統(OEM)，安裝到另一台組裝電腦上，違反了授權規定。,"ISO/IEC 27005, A.10, TL01",內部人員 (意外),IT人員為了節省成本，將報廢電腦上的Windows序號，用於新電腦的啟用。,"NIST SP 800-30, G-4",IT人員對授權類型認知不清,"未對IT人員進行關於不同軟體授權類型（OEM, 零售, 大量授權）差異的教育訓練。","CNS 27001, A.6.3"
資料,合約 (軟體授權協議書),49. 員工私自安裝盜版軟體 (Use of pirated software),"員工為了工作需要，自行從網路下載並安裝破解版的專業軟體（如Photoshop, AutoCAD）。","ISO/IEC 27005, A.10, TL01",內部人員 (意外/惡意),員工認為公司未提供必要工具，或為圖方便，自行安裝盜版軟體。,"NIST SP 800-30, D-2",缺乏軟體安裝權限管制,一般使用者被授予本機管理員權限，可以自行在電腦上安裝任何軟體。,"CNS 27001, A.8.7"
資料,合約 (軟體授權協議書),50. 授權稽核權條款 (Audit clause risk),未注意到授權協議中包含原廠可隨時進行現場或遠端稽核的條款，導致突襲稽核時措手不及。,"ISO/IEC 27005, A.10, TI03",供應商,"軟體原廠（如Oracle, Microsoft）發動權利金追索，要求對客戶進行全面的軟體授權稽核。","NIST SP 800-30, D-2",供應商風險評估不足,在採購軟體時，未能評估供應商的稽核政策與歷史，並將其納入風險考量。,"CNS 27001, A.5.20"
資料,電子紀錄 (日誌),51. 日誌停止記錄 (Log cessation),因磁碟空間滿溢、服務異常或設定錯誤，導致系統停止產生新的日誌紀錄。,"ISO/IEC 27005, A.10, TO01",結構性因素,記錄檔伺服器的硬碟分割區達到100%使用率，作業系統無法再寫入新日誌。,"NIST SP 800-30, D-2",缺乏監控與告警機制,未設定監控系統來偵測日誌服務是否中斷或磁碟空間是否即將用盡。,"CNS 27001, A.8.16"
資料,電子紀錄 (日誌),52. 日誌遭竄改以掩蓋蹤跡 (Log tampering to cover tracks),攻擊者在入侵系統後，刪除或修改日誌中與其攻擊行為相關的紀錄，以躲避偵測與事後鑑識。,"ISO/IEC 27005, A.10, TH09",外部攻擊者,駭客在取得root權限後，使用工具清除/var/log/secure中的SSH登入失敗紀錄。,"NIST SP 800-30, D-2",日誌未傳送至唯讀儲存設備,本機日誌檔的權限可被最高權限者修改，且未即時將日誌轉發至無法竄改的中央伺服器。,"CNS 27001, A.8.15"
資料,電子紀錄 (日誌),53. 日誌泛濫攻擊 (Log flooding attack),攻擊者故意觸發會產生大量日誌的事件，意圖癱瘓日誌系統，或利用大量無用日誌來淹沒真實的攻擊紀錄。,"ISO/IEC 27005, A.10, TH11",外部攻擊者,攻擊者對網站發動應用層DDoS攻擊，產生數百萬條的網頁存取錯誤日誌。,"NIST SP 800-30, D-2",日誌系統缺乏過濾與速率限制,日誌收集器未設定機制來過濾重複的日誌，或限制單一來源在單位時間內的日誌傳輸量。,"CNS 27001, A.8.16"
資料,電子紀錄 (日誌),54. 透過日誌洩漏敏感資訊 (Sensitive data leakage via logs),URL參數中包含使用者個資（如身分證號），而Web伺服器的存取日誌完整記錄了這些URL，導致個資洩漏。,"ISO/IEC 27005, A.10, TH07",開發人員 (意外),Web應用程式設計不良，將Session ID或個資直接放在GET請求的URL中傳遞。,"NIST SP 800-30, G-4",缺乏對日誌內容的審核與過濾,沒有機制或程序來定期審查日誌中是否意外地包含了不應記錄的敏感個資。,"CNS 27001, A.8.28"
資料,電子紀錄 (日誌),55. 日誌未受加密保護 (Logs stored in plaintext),集中收集的日誌以明文方式儲存在伺服器上，任何能存取該伺服器的人，都能讀取所有系統的活動紀錄。,"ISO/IEC 27005, A.10, TH07",敵對的內部人員,其他部門的IT人員，利用其伺服器管理權限，偷看資安設備的日誌，了解調查活動。,"NIST SP 800-30, D-2",未落實靜態資料加密(Encryption at Rest),儲存日誌的伺服器磁碟或資料庫，未設定加密保護。,"CNS 27001, A.8.24"
資料,電子紀錄 (日誌),56. 日誌傳輸過程遭竊聽 (Eavesdropping on log transmission),日誌從用戶端主機傳送到中央伺服器的過程中，使用未加密的協定(如UDP/514 Syslog)，傳輸內容可被網路竊聽。,"ISO/IEC 27005, A.10, TH07",內部攻擊者,已滲透內網的攻擊者，在交換器上設定Port Mirroring，監聽所有Syslog流量。,"NIST SP 800-30, D-2",未使用加密的日誌傳輸協定,未採用TLS加密的Syslog-ng或日誌代理程式來保護日誌傳輸的機密性。,"CNS 27001, A.8.24"
資料,電子紀錄 (日誌),57. 日誌來源位址可被偽冒 (Log source spoofing),攻擊者傳送偽造來源IP的日誌訊息至中央伺服器，企圖產生誤導性的告警，或陷害他人。,"ISO/IEC 27005, A.10, TH09",外部攻擊者,攻擊者偽裝成某台重要主機的IP，發送偽造的系統崩潰日誌，誘使管理員採取錯誤行動。,"NIST SP 800-30, D-2",日誌伺服器未驗證來源可靠性,日誌伺服器接收來自任何IP位址的日誌訊息，未設定僅接收可信任主機的日誌。,"CNS 27001, A.8.2"
資料,電子紀錄 (日誌),58. 無法關聯不同來源的日誌 (Inability to correlate logs),因為缺乏共同的使用者ID或交易ID，無法將來自Web伺服器、應用程式與資料庫的日誌串連起來，追蹤一個完整的用戶行為。,"ISO/IEC 27005, A.10, TO02",開發人員 (意外),系統架構設計時，未考慮到跨系統的稽核追蹤需求。,"NIST SP 800-30, G-4",缺乏應用程式層級的日誌記錄標準,公司未制定標準，要求所有自行開發的應用程式都必須在日誌中記錄特定的關聯ID。,"CNS 27001, A.8.15"
